name,feature_mode,feature_dimension,C,lr,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted
best_cv,hog,1296,1.0,0.02,0.9723333333333334,0.9725951025708339,0.9717603556828642,0.9720721330448789,0.972337887882178
flatten_reference,flatten,784,1.0,0.01,0.9046666666666666,0.9036090421849151,0.9027416293364201,0.9027727758414216,0.904281480339232
pca_reference,pca,100,1.0,0.02,0.8823333333333333,0.8836859246236564,0.8809642508520097,0.8813811283561588,0.8827439546432275
