config_id,feature_mode,pca_components,C,lr,mean_val_accuracy,mean_val_macro_f1,mean_val_weighted_f1
6,hog,,1.0,0.02,0.962888888888889,0.9626547349016272,0.9628641496618071
5,hog,,0.1,0.02,0.9544444444444444,0.9542272942098577,0.9544134773296604
2,flatten,,1.0,0.01,0.8858888888888888,0.8840578443568106,0.8852889494579927
4,pca,100.0,1.0,0.02,0.8627777777777778,0.8609514077328352,0.8624941033599752
1,flatten,,0.1,0.01,0.8587777777777778,0.8566736123312312,0.8578253161663617
3,pca,50.0,0.1,0.02,0.8282222222222222,0.8241462455434764,0.8254076082963008
