train_fraction,train_samples,train_macro_f1,val_macro_f1
0.2,2400,0.9933296555552072,0.9612320234141942
0.4,4800,0.9870937619609172,0.9661658845281972
0.6,7200,0.9817338735631553,0.9632985395185696
0.8,9600,0.9802526917614983,0.9668027858331785
1.0,12000,0.9786999086944927,0.9689120526389047
